ts_utc;kind;side;price_hint;range_id;message_id;confidence
2025-10-08T07:36:45Z;range_open;SELL;4037.0;2025-10-08-1;12296;0.95
2025-10-08T07:53:59Z;range_close;;;2025-10-08-1;12306;
2025-10-08T08:39:30Z;range_open;SELL;4038.0;2025-10-08-2;12308;0.95
2025-10-08T09:00:54Z;range_close;;;2025-10-08-2;12318;
2025-10-08T09:38:56Z;range_open;SELL;4038.0;2025-10-08-3;12321;0.95
2025-10-08T10:27:19Z;range_close;;;2025-10-08-3;12323;
2025-10-08T10:44:47Z;range_open;BUY;4036.0;2025-10-08-4;12326;0.95
2025-10-08T11:22:22Z;range_close;;;2025-10-08-4;12333;
2025-10-08T11:36:41Z;range_open;BUY;4032.0;2025-10-08-5;12335;0.95
2025-10-08T11:39:57Z;range_close;;;2025-10-08-5;12339;
2025-10-08T12:10:42Z;range_open;SELL;4045.0;2025-10-08-6;12341;0.95
2025-10-08T12:16:05Z;range_close;;;2025-10-08-6;12349;
2025-10-08T12:17:46Z;range_open;SELL;4045.0;2025-10-08-7;12351;0.95
2025-10-08T12:21:11Z;range_close;;;2025-10-08-7;12357;
2025-10-09T07:49:20Z;range_open;BUY;4031.0;2025-10-09-1;12367;0.95
2025-10-09T08:14:59Z;range_close;;;2025-10-09-1;12378;
2025-10-09T08:51:32Z;range_open;SELL;4040.0;2025-10-09-2;12381;0.95
2025-10-09T09:11:37Z;range_close;;;2025-10-09-2;12391;
2025-10-09T09:44:15Z;range_open;BUY;4036.0;2025-10-09-3;12394;0.95
2025-10-09T10:01:56Z;range_close;;;2025-10-09-3;12403;
2025-10-09T11:17:35Z;range_open;BUY;4034.0;2025-10-09-4;12409;0.95
2025-10-09T11:30:17Z;range_close;;;2025-10-09-4;12415;
2025-10-09T11:44:43Z;range_open;SELL;4044.0;2025-10-09-5;12417;0.95
2025-10-09T12:01:36Z;range_close;;;2025-10-09-5;12422;
2025-10-09T13:00:47Z;range_open;SELL;4054.0;2025-10-09-6;12426;0.95
2025-10-09T13:09:55Z;range_close;;;2025-10-09-6;12433;
2025-10-09T13:10:39Z;range_open;SELL;4056.0;2025-10-09-7;12435;0.95
2025-10-09T13:15:36Z;range_close;;;2025-10-09-7;12441;
2025-10-13T07:12:27Z;range_open;SELL;4070.0;2025-10-13-1;12468;0.95
2025-10-13T07:32:05Z;range_close;;;2025-10-13-1;12476;
2025-10-13T07:45:03Z;range_open;SELL;4075.0;2025-10-13-2;12478;0.95
2025-10-13T07:57:53Z;range_close;;;2025-10-13-2;12487;
2025-10-13T08:53:06Z;range_open;SELL;4078.0;2025-10-13-3;12489;0.95
2025-10-13T09:26:55Z;range_close;;;2025-10-13-3;12497;
2025-10-13T09:55:18Z;range_open;SELL;4079.0;2025-10-13-4;12499;0.95
2025-10-13T10:07:04Z;range_close;;;2025-10-13-4;12508;
2025-10-13T10:51:09Z;range_open;SELL;4082.0;2025-10-13-5;12510;0.95
