ts_utc;kind;side;price_hint;range_id;message_id;confidence;signal_number
2024-08-14T07:33:34Z;range_open;SELL;2477.0;2024-08-14-msg481;481;0.9;
2024-08-14T09:31:08Z;range_close;;;2024-08-14-msg481;483;0.95;
2024-08-14T14:51:22Z;range_open;SELL;2458.0;2024-08-14-msg488;488;0.9;
2024-08-14T15:45:47Z;range_close;;;2024-08-14-msg488;491;0.95;
2024-08-15T07:26:31Z;range_open;BUY;2447.0;2024-08-15-msg494;494;0.9;
2024-08-15T10:20:12Z;range_open;BUY;2450.0;2024-08-15-msg499;499;0.9;
2024-08-15T11:41:31Z;range_close;;;2024-08-15-msg494;502;0.95;
2024-08-15T11:41:31Z;range_close;;;2024-08-15-msg499;502;0.95;
2024-08-16T07:07:39Z;range_open;SELL;2456.0;2024-08-16-msg515;515;0.9;
2024-08-16T07:57:31Z;range_close;;;2024-08-16-msg515;519;0.95;
2024-08-16T09:38:51Z;range_open;SELL;2462.0;2024-08-16-msg521;521;0.9;
2024-08-16T11:57:59Z;range_close;;;2024-08-16-msg521;525;0.95;
2024-08-19T08:49:44Z;range_open;BUY;2502.0;2024-08-19-msg534;534;0.9;
2024-08-19T10:22:16Z;range_close;;;2024-08-19-msg534;535;0.95;
2024-08-20T13:25:08Z;range_open;BUY;2527.0;2024-08-20-msg548;548;0.9;
2024-08-20T13:39:20Z;range_close;;;2024-08-20-msg548;551;0.95;
2024-08-20T15:52:43Z;range_open;BUY;2509.0;2024-08-20-msg555;555;0.9;
2024-08-20T16:05:08Z;range_close;;;2024-08-20-msg555;556;0.95;
2024-08-21T07:15:11Z;range_open;BUY;2515.0;2024-08-21-msg559;559;0.9;
2024-08-21T09:04:06Z;range_close;;;2024-08-21-msg559;560;0.95;
2024-08-22T07:35:07Z;range_open;SELL;2507.0;2024-08-22-msg566;566;0.9;
2024-08-22T11:40:04Z;range_close;;;2024-08-22-msg566;575;0.95;
2024-08-22T12:47:34Z;range_open;SELL;2501.0;2024-08-22-msg576;576;0.9;
